ticket_id,opened_datetime,closed_datetime,system_name,issue_type,severity,facility_id,meter_id,reported_by_team,ticket_status,business_impact,root_cause_category,resolution_summary,related_batch_id,related_exception_code
TCK-000227,2026-05-17T10:36:00,,FlowCalSim,Missing Measurement Data,Medium,FAC-017,MTR-081,Field Ops,Investigating,Dashboard value mismatch,Source Data,Documented workaround and escalation path,BATCH-20260517-10,NULL_VOLUME
TCK-000228,2026-04-25T12:45:00,2026-04-26T13:45:00,BigQuery,Duplicate Records,Medium,FAC-013,MTR-062,Field Ops,Resolved,Pipeline health alert,Source Data,Validated source-to-target counts,BATCH-20260425-12,
TCK-000229,2026-05-30T11:18:00,2026-05-31T10:18:00,FlowCalSim,Duplicate Records,High,FAC-016,MTR-078,Measurement,Closed,Pipeline health alert,Measurement Approval,Documented workaround and escalation path,BATCH-20260530-11,ZERO_VOLUME
TCK-000230,2026-05-20T06:20:00,2026-05-23T16:20:00,BigQuery,BI Report Mismatch,Medium,FAC-011,MTR-053,Commercial,Resolved,Report output delayed,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260520-06,DUPLICATE_READING
TCK-000231,2026-04-15T13:27:00,,FlowCalSim,FlowCal Exception,Medium,FAC-002,MTR-007,Commercial,Investigating,Report output delayed,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260415-13,MISSING_ASSET
TCK-000232,2026-04-16T14:28:00,2026-04-20T06:28:00,SimulatedSCADA,User Access Issue,Low,FAC-006,MTR-028,Application Support,Resolved,Dashboard value mismatch,Report Logic,Documented workaround and escalation path,BATCH-20260416-14,NULL_VOLUME
TCK-000233,2026-05-19T00:35:00,2026-05-22T13:35:00,SimulatedSCADA,Invalid Quality Code,Medium,FAC-005,MTR-025,Measurement,Resolved,Pipeline health alert,Reference Data,Documented workaround and escalation path,BATCH-20260519-00,NULL_VOLUME
TCK-000234,2026-05-14T08:50:00,2026-05-16T15:50:00,Streamlit,Incorrect Facility Mapping,Low,FAC-009,MTR-041,Operations,Closed,User unable to validate volume,Source Data,Validated source-to-target counts,BATCH-20260514-08,DUPLICATE_READING
TCK-000235,2026-04-16T20:56:00,,MeterFlow IQ,Duplicate Records,Medium,FAC-019,MTR-093,Application Support,Investigating,User unable to validate volume,Polling Platform,Validated source-to-target counts,BATCH-20260416-20,LATE_ARRIVAL
TCK-000236,2026-05-04T11:21:00,,SimulatedSCADA,BI Report Mismatch,Critical,FAC-006,MTR-027,Operations,Investigating,Report output delayed,Polling Platform,Documented workaround and escalation path,BATCH-20260504-11,STALE_READING
TCK-000237,2026-05-28T02:45:00,2026-05-30T01:45:00,SimulatedSCADA,Polling Outage,High,FAC-025,MTR-122,BI Reporting,Closed,Report output delayed,ETL / Pipeline,Validated source-to-target counts,BATCH-20260528-02,NULL_VOLUME
TCK-000238,2026-04-24T11:43:00,2026-04-24T18:43:00,Snowflake,Failed Pipeline Job,Medium,FAC-024,MTR-118,Commercial,Closed,Potential measurement close impact,Measurement Approval,Validated source-to-target counts,BATCH-20260424-11,NULL_VOLUME
TCK-000239,2026-04-02T01:10:00,2026-04-04T23:10:00,BigQuery,Invalid Quality Code,High,FAC-025,MTR-125,Operations,Resolved,Potential measurement close impact,Access / Security,Validated source-to-target counts,BATCH-20260402-01,NULL_VOLUME
TCK-000240,2026-05-26T09:46:00,2026-05-28T11:46:00,Snowflake,Failed Pipeline Job,Medium,FAC-025,MTR-122,Measurement,Closed,User unable to validate volume,ETL / Pipeline,Validated source-to-target counts,BATCH-20260526-09,MISSING_ASSET
TCK-000241,2026-04-29T18:38:00,2026-05-02T06:38:00,Azure SQL,User Access Issue,Medium,FAC-013,MTR-064,Operations,Resolved,Report output delayed,Source Data,Reviewed mapping and confirmed correction,BATCH-20260429-18,ZERO_VOLUME
TCK-000242,2026-04-23T09:59:00,2026-04-23T11:59:00,Azure SQL,FlowCal Exception,Medium,FAC-006,MTR-028,BI Reporting,Resolved,Dashboard value mismatch,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260423-09,MISSING_ASSET
TCK-000243,2026-04-05T07:26:00,2026-04-09T05:26:00,Azure SQL,Late Data Arrival,Low,FAC-011,MTR-051,Application Support,Resolved,Potential measurement close impact,Source Data,Closed after successful rerun,BATCH-20260405-07,STALE_READING
TCK-000244,2026-05-30T17:20:00,2026-05-31T02:20:00,MeterFlow IQ,Missing Measurement Data,Medium,FAC-008,MTR-036,Field Ops,Closed,Report output delayed,Source Data,Validated source-to-target counts,BATCH-20260530-17,LATE_ARRIVAL
TCK-000245,2026-04-16T14:49:00,2026-04-18T20:49:00,BigQuery,Incorrect Facility Mapping,Low,FAC-023,MTR-111,Measurement,Resolved,Dashboard value mismatch,ETL / Pipeline,Closed after successful rerun,BATCH-20260416-14,LATE_ARRIVAL
TCK-000246,2026-05-11T13:48:00,,BigQuery,Invalid Quality Code,Critical,FAC-001,MTR-004,Commercial,New,Dashboard value mismatch,Measurement Approval,Validated source-to-target counts,BATCH-20260511-13,
TCK-000247,2026-04-25T20:39:00,2026-04-27T21:39:00,FlowCalSim,User Access Issue,Low,FAC-024,MTR-117,Operations,Resolved,User unable to validate volume,Source Data,Closed after successful rerun,BATCH-20260425-20,LATE_ARRIVAL
TCK-000248,2026-04-13T06:30:00,2026-04-13T10:30:00,SimulatedSCADA,BI Report Mismatch,Medium,FAC-025,MTR-122,Commercial,Resolved,Dashboard value mismatch,Source Data,Closed after successful rerun,BATCH-20260413-06,DUPLICATE_READING
TCK-000249,2026-05-28T18:52:00,2026-05-30T07:52:00,MeterFlow IQ,Failed Pipeline Job,Medium,FAC-009,MTR-041,BI Reporting,Resolved,User unable to validate volume,Source Data,Documented workaround and escalation path,BATCH-20260528-18,DUPLICATE_READING
TCK-000250,2026-04-05T01:23:00,,SimulatedSCADA,Polling Outage,Low,FAC-015,MTR-072,Application Support,Investigating,Dashboard value mismatch,ETL / Pipeline,Waiting on source system refresh,BATCH-20260405-01,MISSING_ASSET
TCK-000251,2026-04-28T16:43:00,2026-04-30T17:43:00,Streamlit,Incorrect Facility Mapping,Low,FAC-016,MTR-076,Commercial,Resolved,Dashboard value mismatch,Polling Platform,Closed after successful rerun,BATCH-20260428-16,NULL_VOLUME
TCK-000252,2026-05-19T21:51:00,,Streamlit,BI Report Mismatch,Medium,FAC-009,MTR-042,Operations,New,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260519-21,DUPLICATE_READING
TCK-000253,2026-05-02T02:51:00,2026-05-04T04:51:00,Azure SQL,Missing Measurement Data,Medium,FAC-019,MTR-093,Commercial,Resolved,Dashboard value mismatch,Source Data,Validated source-to-target counts,BATCH-20260502-02,ZERO_VOLUME
TCK-000254,2026-05-20T23:02:00,,Snowflake,Polling Outage,High,FAC-014,MTR-068,BI Reporting,Waiting on Source Team,Dashboard value mismatch,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260520-23,
TCK-000255,2026-05-27T11:28:00,2026-05-28T02:28:00,Streamlit,Missing Measurement Data,Low,FAC-019,MTR-092,Application Support,Resolved,Dashboard value mismatch,Report Logic,Documented workaround and escalation path,BATCH-20260527-11,ZERO_VOLUME
TCK-000256,2026-04-27T02:03:00,2026-04-27T05:03:00,SimulatedSCADA,BI Report Mismatch,Low,FAC-024,MTR-118,Operations,Resolved,Potential measurement close impact,Access / Security,Closed after successful rerun,BATCH-20260427-02,DUPLICATE_READING
TCK-000257,2026-04-05T07:13:00,,SimulatedSCADA,Polling Outage,Medium,FAC-009,MTR-041,Field Ops,Investigating,Report output delayed,ETL / Pipeline,Waiting on source system refresh,BATCH-20260405-07,
TCK-000258,2026-04-01T01:37:00,2026-04-01T05:37:00,BigQuery,Failed Pipeline Job,Critical,FAC-005,MTR-023,Application Support,Resolved,Pipeline health alert,Report Logic,Documented workaround and escalation path,BATCH-20260401-01,MISSING_ASSET
TCK-000259,2026-04-07T21:42:00,2026-04-11T16:42:00,SimulatedSCADA,Missing Measurement Data,Critical,FAC-021,MTR-102,Application Support,Resolved,Pipeline health alert,Source Data,Closed after successful rerun,BATCH-20260407-21,MISSING_ASSET
TCK-000260,2026-04-13T16:13:00,,Streamlit,FlowCal Exception,Low,FAC-005,MTR-023,BI Reporting,Investigating,Potential measurement close impact,Source Data,Validated source-to-target counts,BATCH-20260413-16,PIPELINE_FAILED
TCK-000261,2026-05-19T18:06:00,2026-05-23T06:06:00,Snowflake,Incorrect Facility Mapping,High,FAC-006,MTR-028,Application Support,Resolved,Potential measurement close impact,User Workflow,Closed after successful rerun,BATCH-20260519-18,MISSING_ASSET
TCK-000262,2026-05-23T04:32:00,2026-05-23T06:32:00,FlowCalSim,Missing Measurement Data,Medium,FAC-025,MTR-123,Field Ops,Closed,User unable to validate volume,ETL / Pipeline,Closed after successful rerun,BATCH-20260523-04,LATE_ARRIVAL
TCK-000263,2026-05-07T10:35:00,2026-05-10T15:35:00,Snowflake,User Access Issue,Critical,FAC-016,MTR-080,BI Reporting,Resolved,Pipeline health alert,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260507-10,NULL_VOLUME
TCK-000264,2026-04-17T14:18:00,2026-04-21T02:18:00,SimulatedSCADA,Late Data Arrival,Critical,FAC-023,MTR-112,Field Ops,Closed,Potential measurement close impact,User Workflow,Waiting on source system refresh,BATCH-20260417-14,MISSING_ASSET
TCK-000265,2026-05-01T06:02:00,2026-05-04T20:02:00,FlowCalSim,Incorrect Facility Mapping,Medium,FAC-002,MTR-008,BI Reporting,Closed,User unable to validate volume,Source Data,Closed after successful rerun,BATCH-20260501-06,
TCK-000266,2026-05-17T13:35:00,,Azure SQL,Missing Measurement Data,Medium,FAC-021,MTR-105,BI Reporting,Waiting on Source Team,User unable to validate volume,Source Data,Closed after successful rerun,BATCH-20260517-13,ZERO_VOLUME
TCK-000267,2026-05-07T20:24:00,,Streamlit,Late Data Arrival,Medium,FAC-001,MTR-004,Application Support,Investigating,Dashboard value mismatch,Source Data,Waiting on source system refresh,BATCH-20260507-20,DUPLICATE_READING
TCK-000268,2026-04-11T22:41:00,2026-04-13T06:41:00,FlowCalSim,Invalid Quality Code,Low,FAC-015,MTR-072,Measurement,Resolved,User unable to validate volume,Polling Platform,Waiting on source system refresh,BATCH-20260411-22,LATE_ARRIVAL
TCK-000269,2026-05-28T09:15:00,2026-05-28T19:15:00,Snowflake,Duplicate Records,High,FAC-019,MTR-091,Application Support,Resolved,Report output delayed,Source Data,Validated source-to-target counts,BATCH-20260528-09,PIPELINE_FAILED
TCK-000270,2026-04-27T03:48:00,2026-04-28T19:48:00,Azure SQL,Polling Outage,High,FAC-019,MTR-095,BI Reporting,Closed,Potential measurement close impact,Access / Security,Documented workaround and escalation path,BATCH-20260427-03,STALE_READING
TCK-000271,2026-04-02T17:15:00,,MeterFlow IQ,FlowCal Exception,High,FAC-021,MTR-103,Measurement,Investigating,Dashboard value mismatch,Source Data,Reviewed mapping and confirmed correction,BATCH-20260402-17,ZERO_VOLUME
TCK-000272,2026-04-25T02:38:00,2026-04-25T07:38:00,FlowCalSim,FlowCal Exception,High,FAC-017,MTR-084,Commercial,Resolved,Dashboard value mismatch,Report Logic,Documented workaround and escalation path,BATCH-20260425-02,NULL_VOLUME
TCK-000273,2026-05-20T11:53:00,,Azure SQL,FlowCal Exception,Critical,FAC-012,MTR-057,BI Reporting,Investigating,Pipeline health alert,Source Data,Documented workaround and escalation path,BATCH-20260520-11,PIPELINE_FAILED
TCK-000274,2026-05-20T00:45:00,2026-05-23T03:45:00,Azure SQL,Duplicate Records,Medium,FAC-015,MTR-074,Operations,Resolved,Potential measurement close impact,Report Logic,Closed after successful rerun,BATCH-20260520-00,ZERO_VOLUME
TCK-000275,2026-05-21T20:02:00,2026-05-23T01:02:00,Azure SQL,Duplicate Records,Low,FAC-008,MTR-040,BI Reporting,Resolved,User unable to validate volume,Source Data,Waiting on source system refresh,BATCH-20260521-20,ZERO_VOLUME
TCK-000276,2026-04-18T02:20:00,2026-04-20T14:20:00,Snowflake,Duplicate Records,Critical,FAC-002,MTR-006,Application Support,Resolved,Pipeline health alert,Reference Data,Validated source-to-target counts,BATCH-20260418-02,PIPELINE_FAILED
TCK-000277,2026-05-28T11:14:00,2026-05-31T16:14:00,Azure SQL,Failed Pipeline Job,High,FAC-015,MTR-074,Operations,Closed,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260528-11,DUPLICATE_READING
TCK-000278,2026-04-24T07:22:00,2026-04-25T13:22:00,MeterFlow IQ,Missing Measurement Data,Medium,FAC-010,MTR-047,Measurement,Closed,Dashboard value mismatch,ETL / Pipeline,Closed after successful rerun,BATCH-20260424-07,
TCK-000279,2026-04-07T20:07:00,2026-04-11T01:07:00,MeterFlow IQ,Duplicate Records,High,FAC-018,MTR-087,BI Reporting,Closed,Potential measurement close impact,Reference Data,Validated source-to-target counts,BATCH-20260407-20,NULL_VOLUME
TCK-000280,2026-04-24T00:21:00,2026-04-26T00:21:00,MeterFlow IQ,Missing Measurement Data,High,FAC-002,MTR-008,Commercial,Resolved,Pipeline health alert,Measurement Approval,Closed after successful rerun,BATCH-20260424-00,
TCK-000281,2026-04-17T23:44:00,2026-04-21T19:44:00,Streamlit,FlowCal Exception,Medium,FAC-021,MTR-103,Measurement,Closed,Pipeline health alert,Reference Data,Waiting on source system refresh,BATCH-20260417-23,DUPLICATE_READING
TCK-000282,2026-05-25T20:11:00,2026-05-27T06:11:00,Snowflake,User Access Issue,Low,FAC-022,MTR-106,Operations,Resolved,Pipeline health alert,User Workflow,Closed after successful rerun,BATCH-20260525-20,NULL_VOLUME
TCK-000283,2026-05-09T09:50:00,2026-05-13T05:50:00,FlowCalSim,Invalid Quality Code,Medium,FAC-021,MTR-104,Field Ops,Closed,Pipeline health alert,Reference Data,Documented workaround and escalation path,BATCH-20260509-09,
TCK-000284,2026-05-17T06:03:00,,Azure SQL,Duplicate Records,Low,FAC-012,MTR-058,Measurement,Investigating,User unable to validate volume,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260517-06,STALE_READING
TCK-000285,2026-05-08T20:53:00,2026-05-10T06:53:00,SimulatedSCADA,FlowCal Exception,High,FAC-016,MTR-076,Measurement,Closed,Potential measurement close impact,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260508-20,LATE_ARRIVAL
TCK-000286,2026-04-20T12:28:00,2026-04-22T14:28:00,Snowflake,FlowCal Exception,Medium,FAC-011,MTR-051,BI Reporting,Closed,Report output delayed,Polling Platform,Closed after successful rerun,BATCH-20260420-12,PIPELINE_FAILED
TCK-000287,2026-04-08T10:10:00,,Azure SQL,Failed Pipeline Job,Low,FAC-009,MTR-044,Operations,Waiting on Source Team,Dashboard value mismatch,Source Data,Reviewed mapping and confirmed correction,BATCH-20260408-10,NULL_VOLUME
TCK-000288,2026-05-23T00:24:00,,Streamlit,Duplicate Records,Critical,FAC-014,MTR-067,BI Reporting,Investigating,Pipeline health alert,Reference Data,Validated source-to-target counts,BATCH-20260523-00,PIPELINE_FAILED
TCK-000289,2026-05-05T17:41:00,2026-05-07T07:41:00,Snowflake,BI Report Mismatch,High,FAC-004,MTR-016,Commercial,Closed,Report output delayed,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260505-17,LATE_ARRIVAL
TCK-000290,2026-04-09T10:14:00,2026-04-11T22:14:00,FlowCalSim,Late Data Arrival,Medium,FAC-001,MTR-002,Measurement,Resolved,Potential measurement close impact,Source Data,Reviewed mapping and confirmed correction,BATCH-20260409-10,MISSING_ASSET
TCK-000291,2026-04-12T16:33:00,,Azure SQL,Missing Measurement Data,Medium,FAC-015,MTR-071,Commercial,New,Pipeline health alert,Source Data,Reviewed mapping and confirmed correction,BATCH-20260412-16,MISSING_ASSET
TCK-000292,2026-04-16T22:31:00,2026-04-18T23:31:00,Snowflake,Late Data Arrival,Medium,FAC-012,MTR-056,Field Ops,Closed,User unable to validate volume,Polling Platform,Closed after successful rerun,BATCH-20260416-22,PIPELINE_FAILED
TCK-000293,2026-04-20T23:54:00,2026-04-23T04:54:00,MeterFlow IQ,User Access Issue,Medium,FAC-002,MTR-009,Field Ops,Closed,User unable to validate volume,User Workflow,Documented workaround and escalation path,BATCH-20260420-23,LATE_ARRIVAL
TCK-000294,2026-05-03T11:56:00,2026-05-06T08:56:00,Azure SQL,Missing Measurement Data,Critical,FAC-001,MTR-005,Measurement,Closed,Report output delayed,User Workflow,Waiting on source system refresh,BATCH-20260503-11,PIPELINE_FAILED
TCK-000295,2026-04-27T19:30:00,2026-04-28T18:30:00,Azure SQL,FlowCal Exception,Medium,FAC-017,MTR-082,Field Ops,Resolved,Report output delayed,Source Data,Closed after successful rerun,BATCH-20260427-19,ZERO_VOLUME
TCK-000296,2026-05-25T04:25:00,,Snowflake,Duplicate Records,Medium,FAC-009,MTR-041,Operations,Waiting on Source Team,User unable to validate volume,Polling Platform,Validated source-to-target counts,BATCH-20260525-04,NULL_VOLUME
TCK-000297,2026-05-26T04:27:00,2026-05-28T18:27:00,MeterFlow IQ,Failed Pipeline Job,Low,FAC-010,MTR-050,BI Reporting,Closed,Potential measurement close impact,Source Data,Validated source-to-target counts,BATCH-20260526-04,DUPLICATE_READING
TCK-000298,2026-05-10T05:56:00,2026-05-13T16:56:00,FlowCalSim,User Access Issue,Medium,FAC-011,MTR-052,Application Support,Resolved,Dashboard value mismatch,Source Data,Closed after successful rerun,BATCH-20260510-05,
TCK-000299,2026-04-14T09:39:00,,Streamlit,Polling Outage,Critical,FAC-018,MTR-087,Commercial,Investigating,Pipeline health alert,Polling Platform,Waiting on source system refresh,BATCH-20260414-09,ZERO_VOLUME
TCK-000300,2026-04-16T15:11:00,2026-04-16T17:11:00,FlowCalSim,FlowCal Exception,Low,FAC-009,MTR-044,Field Ops,Closed,Pipeline health alert,Report Logic,Waiting on source system refresh,BATCH-20260416-15,PIPELINE_FAILED
TCK-000301,2026-04-30T14:06:00,2026-05-01T21:06:00,MeterFlow IQ,Missing Measurement Data,High,FAC-019,MTR-091,Field Ops,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260430-14,STALE_READING
TCK-000302,2026-04-03T06:32:00,2026-04-03T10:32:00,MeterFlow IQ,Failed Pipeline Job,Medium,FAC-015,MTR-074,Field Ops,Closed,Pipeline health alert,Polling Platform,Documented workaround and escalation path,BATCH-20260403-06,NULL_VOLUME
TCK-000303,2026-04-30T02:41:00,2026-05-03T21:41:00,MeterFlow IQ,BI Report Mismatch,Medium,FAC-021,MTR-102,Commercial,Closed,Report output delayed,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260430-02,MISSING_ASSET
TCK-000304,2026-05-14T22:29:00,,BigQuery,User Access Issue,High,FAC-011,MTR-053,BI Reporting,Investigating,Potential measurement close impact,Source Data,Documented workaround and escalation path,BATCH-20260514-22,MISSING_ASSET
TCK-000305,2026-04-09T02:51:00,2026-04-11T16:51:00,Streamlit,Polling Outage,Critical,FAC-006,MTR-027,BI Reporting,Resolved,Dashboard value mismatch,Reference Data,Waiting on source system refresh,BATCH-20260409-02,MISSING_ASSET
TCK-000306,2026-05-04T04:13:00,2026-05-07T03:13:00,Streamlit,Incorrect Facility Mapping,Medium,FAC-002,MTR-007,Field Ops,Resolved,Potential measurement close impact,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260504-04,LATE_ARRIVAL
TCK-000307,2026-05-30T13:32:00,,Azure SQL,Invalid Quality Code,Medium,FAC-015,MTR-074,Commercial,Waiting on Source Team,Potential measurement close impact,Reference Data,Reviewed mapping and confirmed correction,BATCH-20260530-13,PIPELINE_FAILED
TCK-000308,2026-05-17T11:16:00,2026-05-18T20:16:00,Azure SQL,Polling Outage,High,FAC-006,MTR-027,Measurement,Resolved,Report output delayed,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260517-11,STALE_READING
TCK-000309,2026-04-05T01:56:00,2026-04-06T08:56:00,BigQuery,Duplicate Records,High,FAC-024,MTR-117,Measurement,Closed,Pipeline health alert,Reference Data,Waiting on source system refresh,BATCH-20260405-01,ZERO_VOLUME
TCK-000310,2026-04-21T03:36:00,2026-04-23T06:36:00,FlowCalSim,FlowCal Exception,Medium,FAC-021,MTR-103,Measurement,Resolved,Pipeline health alert,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260421-03,DUPLICATE_READING
TCK-000311,2026-05-08T06:03:00,2026-05-09T12:03:00,BigQuery,Invalid Quality Code,Low,FAC-018,MTR-089,Operations,Resolved,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260508-06,MISSING_ASSET
TCK-000312,2026-04-06T02:55:00,2026-04-07T18:55:00,Azure SQL,Polling Outage,High,FAC-006,MTR-028,Field Ops,Resolved,Report output delayed,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260406-02,NULL_VOLUME
TCK-000313,2026-05-15T19:55:00,2026-05-18T19:55:00,Azure SQL,Late Data Arrival,Medium,FAC-012,MTR-056,Commercial,Resolved,Potential measurement close impact,ETL / Pipeline,Validated source-to-target counts,BATCH-20260515-19,ZERO_VOLUME
TCK-000314,2026-04-07T05:41:00,2026-04-10T13:41:00,Azure SQL,BI Report Mismatch,Medium,FAC-008,MTR-040,BI Reporting,Closed,Dashboard value mismatch,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260407-05,NULL_VOLUME
TCK-000315,2026-05-30T13:21:00,2026-06-01T01:21:00,FlowCalSim,Polling Outage,Medium,FAC-005,MTR-023,Measurement,Resolved,Report output delayed,ETL / Pipeline,Validated source-to-target counts,BATCH-20260530-13,MISSING_ASSET
TCK-000316,2026-04-09T20:46:00,2026-04-12T06:46:00,MeterFlow IQ,User Access Issue,Medium,FAC-015,MTR-075,Operations,Resolved,Report output delayed,Source Data,Waiting on source system refresh,BATCH-20260409-20,MISSING_ASSET
TCK-000317,2026-04-23T09:46:00,,FlowCalSim,Failed Pipeline Job,Critical,FAC-004,MTR-020,Operations,Investigating,Pipeline health alert,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260423-09,PIPELINE_FAILED
TCK-000318,2026-05-10T16:13:00,,SimulatedSCADA,Invalid Quality Code,High,FAC-025,MTR-124,Commercial,Investigating,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260510-16,STALE_READING
TCK-000319,2026-05-13T08:26:00,,Streamlit,Invalid Quality Code,Medium,FAC-002,MTR-008,Measurement,Waiting on Source Team,Potential measurement close impact,Measurement Approval,Waiting on source system refresh,BATCH-20260513-08,
TCK-000320,2026-05-21T07:38:00,2026-05-24T06:38:00,Streamlit,BI Report Mismatch,Medium,FAC-002,MTR-006,Commercial,Resolved,Dashboard value mismatch,Polling Platform,Closed after successful rerun,BATCH-20260521-07,ZERO_VOLUME
TCK-000321,2026-05-13T15:24:00,2026-05-17T13:24:00,FlowCalSim,User Access Issue,Medium,FAC-022,MTR-106,BI Reporting,Resolved,Potential measurement close impact,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260513-15,PIPELINE_FAILED
TCK-000322,2026-05-11T00:24:00,,MeterFlow IQ,Incorrect Facility Mapping,Low,FAC-010,MTR-049,Measurement,Investigating,User unable to validate volume,Report Logic,Waiting on source system refresh,BATCH-20260511-00,PIPELINE_FAILED
TCK-000323,2026-04-23T05:24:00,,BigQuery,User Access Issue,Medium,FAC-019,MTR-093,BI Reporting,Investigating,Report output delayed,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260423-05,ZERO_VOLUME
TCK-000324,2026-04-09T20:39:00,2026-04-10T02:39:00,MeterFlow IQ,BI Report Mismatch,High,FAC-012,MTR-060,Commercial,Closed,User unable to validate volume,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260409-20,MISSING_ASSET
TCK-000325,2026-04-21T03:12:00,2026-04-22T13:12:00,MeterFlow IQ,Polling Outage,Low,FAC-015,MTR-073,Operations,Resolved,Potential measurement close impact,Reference Data,Closed after successful rerun,BATCH-20260421-03,MISSING_ASSET
TCK-000326,2026-05-16T15:12:00,2026-05-17T09:12:00,Streamlit,Late Data Arrival,Medium,FAC-006,MTR-030,Application Support,Closed,User unable to validate volume,Reference Data,Closed after successful rerun,BATCH-20260516-15,
TCK-000327,2026-05-07T18:54:00,2026-05-09T11:54:00,Snowflake,Duplicate Records,High,FAC-001,MTR-003,Operations,Closed,Report output delayed,Measurement Approval,Waiting on source system refresh,BATCH-20260507-18,NULL_VOLUME
TCK-000328,2026-04-27T19:18:00,,Azure SQL,Polling Outage,Low,FAC-009,MTR-044,Application Support,Waiting on Source Team,Pipeline health alert,Measurement Approval,Documented workaround and escalation path,BATCH-20260427-19,DUPLICATE_READING
TCK-000329,2026-04-04T23:05:00,2026-04-07T05:05:00,SimulatedSCADA,Polling Outage,Low,FAC-017,MTR-084,Field Ops,Closed,Dashboard value mismatch,Source Data,Validated source-to-target counts,BATCH-20260404-23,DUPLICATE_READING
TCK-000330,2026-04-08T20:49:00,2026-04-11T06:49:00,Azure SQL,BI Report Mismatch,High,FAC-025,MTR-123,Operations,Closed,Dashboard value mismatch,Reference Data,Documented workaround and escalation path,BATCH-20260408-20,PIPELINE_FAILED
TCK-000331,2026-04-09T02:34:00,,MeterFlow IQ,Polling Outage,Medium,FAC-010,MTR-048,Measurement,Investigating,Potential measurement close impact,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260409-02,MISSING_ASSET
TCK-000332,2026-04-18T23:27:00,2026-04-21T20:27:00,BigQuery,BI Report Mismatch,Critical,FAC-004,MTR-020,Commercial,Resolved,Pipeline health alert,Report Logic,Waiting on source system refresh,BATCH-20260418-23,LATE_ARRIVAL
TCK-000333,2026-04-12T18:06:00,2026-04-14T17:06:00,Streamlit,Duplicate Records,Low,FAC-011,MTR-053,Application Support,Resolved,Pipeline health alert,Report Logic,Waiting on source system refresh,BATCH-20260412-18,LATE_ARRIVAL
TCK-000334,2026-05-06T19:50:00,,SimulatedSCADA,Duplicate Records,Low,FAC-021,MTR-103,Field Ops,Investigating,Dashboard value mismatch,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260506-19,
TCK-000335,2026-05-01T20:07:00,,Azure SQL,Incorrect Facility Mapping,Low,FAC-003,MTR-014,Application Support,Waiting on Source Team,Potential measurement close impact,User Workflow,Waiting on source system refresh,BATCH-20260501-20,ZERO_VOLUME
TCK-000336,2026-05-08T03:22:00,2026-05-11T04:22:00,Azure SQL,Duplicate Records,High,FAC-008,MTR-037,Application Support,Resolved,User unable to validate volume,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260508-03,ZERO_VOLUME
TCK-000337,2026-04-18T15:14:00,,Snowflake,Invalid Quality Code,High,FAC-013,MTR-061,Field Ops,New,User unable to validate volume,Source Data,Waiting on source system refresh,BATCH-20260418-15,STALE_READING
TCK-000338,2026-05-21T21:42:00,2026-05-22T18:42:00,Streamlit,Polling Outage,High,FAC-016,MTR-078,Field Ops,Resolved,User unable to validate volume,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260521-21,ZERO_VOLUME
TCK-000339,2026-05-29T13:42:00,2026-05-30T00:42:00,BigQuery,BI Report Mismatch,High,FAC-021,MTR-102,Application Support,Resolved,Dashboard value mismatch,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260529-13,PIPELINE_FAILED
TCK-000340,2026-05-12T17:40:00,2026-05-15T09:40:00,BigQuery,Missing Measurement Data,Critical,FAC-006,MTR-029,Application Support,Closed,Dashboard value mismatch,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260512-17,PIPELINE_FAILED
TCK-000341,2026-04-07T06:22:00,2026-04-08T00:22:00,SimulatedSCADA,Late Data Arrival,Low,FAC-021,MTR-105,Application Support,Closed,Report output delayed,Polling Platform,Documented workaround and escalation path,BATCH-20260407-06,LATE_ARRIVAL
